,Title,Title_URL,Image,ipclockupoverlay_URL,Title1,Title2,ipcratingstar,Content,Title_new,Clean_content
0,1. Anjali,https://www.imdb.com/title/tt0099043/?ref_=sr_t_1,"https://m.media-amazon.com/images/M/MV5BZjAyYjY1ODUtNTlkOS00ODVmLWE3ODEtNmUzZTQxNjcwNjMyXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_QL75_UY207_CR11,0,140,207_.jpg",https://www.imdb.com/title/tt0099043/?ref_=sr_i_1,1990,2h 30m,"8.2
 (3.2K)","After a few years, Chitra learns that her child, who was believed to be dead, is alive but is suffering from a mental illness. However, her family faces many challenges while looking after her child.",anjali,after a few years chitra learns that her child who was believed to be dead is alive but is suffering from a mental illness however her family faces many challenges while looking after her child
1,2. Puriyatha Puthir,https://www.imdb.com/title/tt10953342/?ref_=sr_t_2,"https://m.media-amazon.com/images/M/MV5BMjM0ZWQ0MTgtNDY1ZC00YTUyLWFkZDQtZWQ5YmY1MzQyOWViXkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_QL75_UY207_CR24,0,140,207_.jpg",https://www.imdb.com/title/tt10953342/?ref_=sr_i_2,1990,,"7.4
 (51)","Raghu (Rahman) escapes from prison and comes to Geetha's (Rekha) house. He finds that her husband, Chakravarthi (Raghuvaran) is murdered. Raghu asks Geetha to hide him from the police. As Geetha knows him from her college days, she believes him to be innocent. The next day, when he asks Geetha why she murdered her husband, she tells him about her past. Chakravarthi hated beautiful women as he was harassed badly by his stepmother. Hence, he used to ill-treat Geetha. Her childhood friend Babu (Anand Babu), a disco dancer, advised him not to do so, but to no avail. Hence Babu was very angry with him. One day, after giving another dose of torture to Geetha, Chakravarthi went upstairs. Later, Geetha found him to be murdered. She did not know who the murderer was. In an interesting plot twist, a police officer also gets involved. One day in the bar, where Babu was dancing, one of Chakravarthi's former aides was found murdered and the knife used to kill him was found to be in Babu's hands. At this point, everyone involved in this case have been taken into police custody, and Babu was tortured by the police because of his finger prints in the knife. The investigation continues on the murder. Meanwhile, Geetha also tries to find her husband's killer. In the end when the secret is out, the killer jumps out of the building and the crew requests the audience not to reveal the killer.",puriyatha puthir,raghu rahman escapes from prison and comes to geetha s rekha house he finds that her husband chakravarthi raghuvaran is murdered raghu asks geetha to hide him from the police as geetha knows him from her college days she believes him to be innocent the next day when he asks geetha why she murdered her husband she tells him about her past chakravarthi hated beautiful women as he was harassed badly by his stepmother hence he used to ill treat geetha her childhood friend babu anand babu a disco dancer advised him not to do so but to no avail hence babu was very angry with him one day after giving another dose of torture to geetha chakravarthi went upstairs later geetha found him to be murdered she did not know who the murderer was in an interesting plot twist a police officer also gets involved one day in the bar where babu was dancing one of chakravarthi s former aides was found murdered and the knife used to kill him was found to be in babu s hands at this point everyone involved in this case have been taken into police custody and babu was tortured by the police because of his finger prints in the knife the investigation continues on the murder meanwhile geetha also tries to find her husband s killer in the end when the secret is out the killer jumps out of the building and the crew requests the audience not to reveal the killer
2,3. Michael Madana Kama Rajan,https://www.imdb.com/title/tt0140377/?ref_=sr_t_3,"https://m.media-amazon.com/images/M/MV5BMTU0OThmOTctZDkwNS00NTE4LTgwYTUtOGU5YjZhYzYxNmNhXkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_QL75_UY207_CR10,0,140,207_.jpg",https://www.imdb.com/title/tt0140377/?ref_=sr_i_3,1990,2h 42m,"8.5
 (5.1K)","A comedy of errors with identical quadruplets, separated at birth, coming together as adults.",michael madana kama rajan,a comedy of errors with identical quadruplets separated at birth coming together as adults
3,4. Mounam Sammadham,https://www.imdb.com/title/tt0235607/?ref_=sr_t_4,"https://m.media-amazon.com/images/M/MV5BZTZiNDQxMjEtMDZjOC00ZGVlLWI2ZjAtZmFjZTdiYmI1ZDRkXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR16,0,140,207_.jpg",https://www.imdb.com/title/tt0235607/?ref_=sr_i_4,1990,2h 24m,"7.0
 (195)","Sundaram is charged with the murder of his brother's wife. But everyone believes he is innocent. His lawyer asks Raja, an eminent lawyer from Delhi, to take his case and Raja accepts it.",mounam sammadham,sundaram is charged with the murder of his brother s wife but everyone believes he is innocent his lawyer asks raja an eminent lawyer from delhi to take his case and raja accepts it
4,5. Adisaya Piravi,https://www.imdb.com/title/tt0318275/?ref_=sr_t_5,"https://m.media-amazon.com/images/M/MV5BZDI4ODJiZjctNzI2NC00OGI5LWE4NzQtY2NkOTk3MzBkZTE3XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_QL75_UY207_CR6,0,140,207_.jpg",https://www.imdb.com/title/tt0318275/?ref_=sr_i_5,1990,2h 25m,"6.8
 (440)","Kaalayan is killed by goons. In heaven, he opposes and gets sent back in the body of Balu, who has enemies in the form of greedy relatives. Now, he has to fix Balu's life as well as his own.",adisaya piravi,kaalayan is killed by goons in heaven he opposes and gets sent back in the body of balu who has enemies in the form of greedy relatives now he has to fix balu s life as well as his own
5,6. Arangetra Velai,https://www.imdb.com/title/tt0214486/?ref_=sr_t_6,"https://m.media-amazon.com/images/M/MV5BZmRkODk1YTYtOTUyMy00YzdiLTg2MzktYjhlNjUzYzk0YzA5XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_QL75_UY207_CR14,0,140,207_.jpg",https://www.imdb.com/title/tt0214486/?ref_=sr_i_6,1990,2h 34m,"7.4
 (216)",Three unemployed people - two men and one woman - find the answer to their money problems when they receive a call from a kidnapper through a cross connection.,arangetra velai,three unemployed people two men and one woman find the answer to their money problems when they receive a call from a kidnapper through a cross connection
6,7. Pathimoonam Number Veedu,https://www.imdb.com/title/tt10162934/?ref_=sr_t_7,"https://m.media-amazon.com/images/M/MV5BYjAxZDlmNjktMGJiNy00Y2UyLTg3NGEtNzRiMTVhZTIxODA3XkEyXkFqcGdeQXVyMTA2NjIyMTg4._V1_QL75_UY207_CR114,0,140,207_.jpg",https://www.imdb.com/title/tt10162934/?ref_=sr_i_7,1990,1h 50m,"6.6
 (19)","Selvam (Nizhalgal Ravi), an estate manager, and his family move into a new house based in a remote village. There, Selvam falls in love with Annam (Sadhana), a jolly village girl. Disturbed by a ghost (Lalitha Kumari), Selvam's grandfather dies from a heart attack. One day, Murali (Jaishankar), Selvam's brother, goes to an isolated home and treats an old lady. The next day, he realizes that the old lady was a ghost and he also dies from a heart attack. The family, in mourning, decides to arrange Selvam's wedding with Annam to forget this tragedy. Thereafter, Annam becomes pregnant but even after 10 months, she doesn't deliver. A Gurukkal (Ra. Sankaran) comes to the aid of the family and he feels that something has stopped her delivery. He prepares a ritual and the ghost finally appears and tells him about her past. The ghost was the young woman named Rekha. She lived happily with her husband (Ravikanth) but her husband had a lot of bad habits and also had a lot of debts. Under pressures, he forced his wife Rekha to have a sexual relationship with the house owner. She refused and killed the house owner. Afterwards, her angry husband killed her in turn. She then became a ghost and killed her husband. Since that day, she killed every male who stayed in the house.",pathimoonam number veedu,selvam nizhalgal ravi an estate manager and his family move into a new house based in a remote village there selvam falls in love with annam sadhana a jolly village girl disturbed by a ghost lalitha kumari selvam s grandfather dies from a heart attack one day murali jaishankar selvam s brother goes to an isolated home and treats an old lady the next day he realizes that the old lady was a ghost and he also dies from a heart attack the family in mourning decides to arrange selvam s wedding with annam to forget this tragedy thereafter annam becomes pregnant but even after 10 months she doesn t deliver a gurukkal ra sankaran comes to the aid of the family and he feels that something has stopped her delivery he prepares a ritual and the ghost finally appears and tells him about her past the ghost was the young woman named rekha she lived happily with her husband ravikanth but her husband had a lot of bad habits and also had a lot of debts under pressures he forced his wife rekha to have a sexual relationship with the house owner she refused and killed the house owner afterwards her angry husband killed her in turn she then became a ghost and killed her husband since that day she killed every male who stayed in the house
7,8. Vaigasi Poranthachu,https://www.imdb.com/title/tt10158248/?ref_=sr_t_8,"https://m.media-amazon.com/images/M/MV5BODJlZDI4MmItYmEzMi00NzdhLTlkNjQtNWMwM2Q1OGFlZWY5XkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt10158248/?ref_=sr_i_8,1990,2h 20m,"7.8
 (27)","After an initial tiff, Kumaresan falls for Ranjita. She, however, humiliates him since he does not know who his father is. When she learns some truths about her own mother, she has a change of heart.",vaigasi poranthachu,after an initial tiff kumaresan falls for ranjita she however humiliates him since he does not know who his father is when she learns some truths about her own mother she has a change of heart
8,9. Pulan Visaaranai,https://www.imdb.com/title/tt0320321/?ref_=sr_t_9,"https://m.media-amazon.com/images/M/MV5BNDQyMTg5NWItYTNmMS00ZjkwLTg3NTgtZGQ0YjQwYzM5YTQzXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_QL75_UY207_CR5,0,140,207_.jpg",https://www.imdb.com/title/tt0320321/?ref_=sr_i_9,1990,2h 30m,"6.8
 (133)","Dharma, an auto driver, works for RR, an influential politician, and kidnaps young women. Investigating officer DCP Raj, who was earlier suspended due to political pressure, must bring him to justice.",pulan visaaranai,dharma an auto driver works for rr an influential politician and kidnaps young women investigating officer dcp raj who was earlier suspended due to political pressure must bring him to justice
9,10. Panakkaran,https://www.imdb.com/title/tt1286164/?ref_=sr_t_10,"https://m.media-amazon.com/images/M/MV5BY2FmYmEyNWMtNzNjZC00MmU5LThlOTAtMmY1MTljN2JhMjhiXkEyXkFqcGdeQXVyMTY0MDk0NjE3._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt1286164/?ref_=sr_i_10,1990,2h 27m,"6.8
 (389)","The illegitimate son of a rich man and a singer is raised by a poor drunkard. Before he can commit to the girl he loves, he wants to find out who his parents really are. Will the drunkard help him?",panakkaran,the illegitimate son of a rich man and a singer is raised by a poor drunkard before he can commit to the girl he loves he wants to find out who his parents really are will the drunkard help him
